what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291349818560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349838715
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349897247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1291349897271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349897568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349940070
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1291349960343
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291349960507
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349965880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349976189
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1291349976205
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291349998531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349998872
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350005833
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291350016028
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291350067619
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350102727
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350105745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350105757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350108264
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350110474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350110484
started,bundle,org.eclipse.gef,3.6.0.v20100525-1225,"org.eclipse.gef",1291350112110
started,bundle,org.eclipse.draw2d,3.6.0.v20100525-1225,"org.eclipse.draw2d",1291350112268
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1291350112579
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1291350112664
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1291350112856
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1291350112950
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1291350113467
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1291350113496
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1291350113614
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1291350113686
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1291350114280
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1291350114621
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1291350114834
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1291350114857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350115004
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291350116903
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350117644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350125668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350125687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350128513
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350130518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350130544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350135620
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350137593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350137610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350140806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350143051
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291350143069
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291350162287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350162679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350213423
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291350236893
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291350237359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350237539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350242131
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350321338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350389979
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291350397214
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350397387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350401346
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350595122
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350595560
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291350601247
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291350604385
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.ThreadView",1291350611958
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.DeviceView",1291350612078
activated,perspective,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.Perspective",1291350612144
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291350612163
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1291350627209
