what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351301799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351385198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351385766
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291351394911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351397216
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351401898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351508073
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351508227
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351511687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291352169658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291352945997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291353798742
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291353879042
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365490794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365491363
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291365508062
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291365579573
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291365582127
executed,command,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui.update",1291365588450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365588751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365597206
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291365607295
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291365615002
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291365615067
